,semeval,election,pheme,covid,srq,wtwt
flan-alpaca-xxl,0.1899737295663042,0.29439049009195445,0.3549521936926517,0.4042509066840328,0.32749656064483795,0.32188708851907416
flan-ul2,0.46845346220062406,0.43464750798114715,0.20756326425432778,0.27110584773801333,0.4109257238143669,0.39678107848180577
Mistral-7B-Instruct-v0.1,0.44597454189354213,0.45803555868880513,0.4536662583596402,0.40957678888443955,0.17895334643667846,0.5295162407658442
Llama-2-7b-hf,0.28547922771334305,0.33159593156655004,0.34172091338460836,0.3433660726097531,0.35324873225374276,0.31861496469227446
